# GZ curve, top row is heel angle, others is GZ, middle row is keel canted.
0.00,5.000,10.00,15.00,20.00,25.00,30.00,35.00,40.00,45.00, 
0.586,0.945,1.218,1.389,1.490,1.545,1.570,1.573,1.616,1.604,
0.00,0.357,0.648,0.854,0.993,1.089,1.155,1.199,1.226,1.239,
